"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"phi[83]",0.413351612274412,0.00928348379704162,0.522752034616692,-0.610917781624113,0.0599616601478177,0.415094677704734,0.768769771105733,1.43569842456817,3170.8047209883,1.00701374789827
"phi[84]",0.621118026271075,0.00988418316369777,0.520134592555391,-0.397403543310186,0.269483427631366,0.619600251480278,0.96950926038679,1.64416150580742,2769.17184420103,1.00714024633602
"phi[85]",0.31637274427269,0.00939682261816681,0.552353947827801,-0.773749017307276,-0.0570741696090418,0.318181743678013,0.688611130852312,1.39778021936571,3455.19742248427,1.00591578769722
"phi[86]",0.347728182435286,0.00974470602038978,0.493507869175535,-0.612988786611742,0.0167719534549366,0.34612981766943,0.67731878172147,1.31283631536206,2564.78331953884,1.00690084477257
"phi[87]",-0.127441432092754,0.00927361015693246,0.486071610495189,-1.07001569509282,-0.456215400552308,-0.127151409392591,0.197829968548913,0.823897945820138,2747.27948158193,1.00878759782539
"phi[88]",1.00264728451905,0.00977431867756408,0.597701810890462,-0.172965897606481,0.5969686770146,1.00333516456582,1.40390863689133,2.17452444980646,3739.35032455199,1.00523350309587
"phi[89]",-0.15601566269072,0.00378411635398195,0.445711980092596,-1.03152984755207,-0.456198818110083,-0.153004664799018,0.144703189219507,0.722340731423425,13873.2959744631,1.00058224905004
"phi[90]",-0.164058640185613,0.00392859762397638,0.490592876208417,-1.11895191739473,-0.496881320021529,-0.164602585047225,0.169658096060673,0.800741765228118,15594.353541759,1.00039536911168
"phi[91]",-0.261968862286415,0.0037165320003292,0.52247015084336,-1.29429102198006,-0.614965113115658,-0.261422693651277,0.0886519057509393,0.763210662660947,19762.742621332,1.00022930320228
"phi[92]",-1.3963235645737,0.00341858403371088,0.434118079473388,-2.24372057378769,-1.69253423699052,-1.39812428617026,-1.10354507560325,-0.543269333923664,16125.8726657548,1.00059865474216
"phi[93]",-0.391726535282379,0.00401981328621236,0.564016286943136,-1.49863895268351,-0.772872456660629,-0.386153235095825,-0.0115440803649413,0.712786909388115,19686.6367425041,1.00028974644384
"phi[94]",-0.236385483496129,0.00411987608722505,0.520791372907199,-1.25555867822144,-0.585904482903798,-0.236201160543456,0.112723058809067,0.784903479586823,15979.3553486674,1.00058490515715
"phi[95]",-0.268511463394502,0.00352835143592183,0.467162728382468,-1.18528967775883,-0.584176039513551,-0.268449010795203,0.0501258817753145,0.645318267035115,17530.4353193209,1.00051046616399
"phi[96]",-0.225038842023674,0.00387618585146959,0.489647185969695,-1.17354009196484,-0.555476356738705,-0.22652087814053,0.101703666942949,0.740843260040841,15957.2240138058,1.00061288577206
"phi[97]",-1.06382070855478,0.00349667685283134,0.485857825297872,-2.01977599565367,-1.38821415454938,-1.06439707289431,-0.737671902728781,-0.121393830949843,19306.6714749562,1.00069835026587
"phi[98]",-0.151597205580257,0.0038697825432435,0.487631172926748,-1.10459819462886,-0.477853861350589,-0.153284173614959,0.177961776959006,0.802719730498129,15878.5119367405,1.00035608759982
"phi[99]",-0.27101012755224,0.0035446827268568,0.425577056720961,-1.10545122856863,-0.556703725504765,-0.272565156282468,0.0142181859975013,0.56651278149057,14414.5694664114,1.00040467395285
"phi[100]",-0.322358421022671,0.00377758160602652,0.492157453694571,-1.29432255468967,-0.654957547831307,-0.322748861954022,0.0104910332949223,0.639414277367117,16973.8524880556,1.00029363830816
"phi[101]",-0.0426919840960332,0.00406448284061575,0.485503235363386,-0.989578546888738,-0.371257148959164,-0.0394126426033168,0.283597558654044,0.906138044770682,14268.3471739555,1.00103234522828
"phi[102]",-0.918496903618586,0.00360541157342829,0.477170384886023,-1.85379169265846,-1.24217126954548,-0.917073683021175,-0.597693759034403,0.0251166518272553,17516.093975649,1.00065196214388
"phi[103]",-0.395701907319113,0.00359987186915479,0.487505540700364,-1.3600623263377,-0.726863063930133,-0.388874235806563,-0.0636887022949913,0.538983895743461,18339.3958932872,1.00046437895237
"phi[104]",0.0979667595135924,0.00384432707060382,0.461294350186864,-0.805437369546881,-0.212797027976432,0.0991397729368263,0.409123257656523,0.998387944211169,14398.4456506495,1.00107570810332
"phi[105]",-0.283035205036662,0.00398562956795476,0.424222410156436,-1.10833849572425,-0.571713508215802,-0.28370212797313,0.00201006397069461,0.557701791788029,11329.0462524875,1.0019732943308
"phi[106]",-0.592741304417813,0.00437752319613786,0.563412008052878,-1.68960771493338,-0.977298591472671,-0.592661413832192,-0.211103352241546,0.511194098499543,16565.1466766279,1.0015859757372
"phi[107]",0.103977720745637,0.00372957627506568,0.51462852212688,-0.904590440784045,-0.241234615688646,0.102252484542089,0.454578825623967,1.11189784215598,19040.0777570088,1.00087126740317
"phi[108]",-0.255253733736782,0.00438413195699713,0.486553477818315,-1.20865079269047,-0.58422275995943,-0.254542462084546,0.0734067271119282,0.696366239448722,12316.6876402721,1.0011968409218
"phi[109]",-0.44013366554317,0.00403023318658543,0.515159842203143,-1.44772814540216,-0.78740128557901,-0.439704337841931,-0.0940627427492681,0.571743543424881,16338.9315476288,1.00060352189546
"phi[110]",-0.158672283934749,0.00387094373086558,0.521911070482423,-1.17492298485068,-0.510106796816788,-0.159760917925116,0.193787861290444,0.872839964235677,18178.5526032906,1.00061764350662
"phi[111]",-0.22643544156876,0.00375344280757462,0.485161833455679,-1.18110012011663,-0.554165215424073,-0.22584063393814,0.103039855707105,0.72112904700758,16707.583938441,1.00049996948226
"phi[112]",-0.665815822395221,0.00366684786834723,0.461604326535214,-1.57524174991238,-0.977483098422522,-0.66832523576314,-0.352669299749572,0.238960931776736,15847.2517486814,1.00052334947364
"phi[113]",-0.0652085813632541,0.0038880948994427,0.521843159216012,-1.10115134353705,-0.416025151693892,-0.0641763648785425,0.286863543053221,0.959027497973312,18013.8389807095,1.00083102211333
"phi[114]",-1.25331357084928,0.00363547270158749,0.515133049435245,-2.26568136139902,-1.60313575788705,-1.25618071576963,-0.903226497132567,-0.242907953293545,20077.8429045904,1.0006072443098
"phi[115]",-1.46209668158299,0.00324194886503954,0.414699348015481,-2.26710378055629,-1.74468720953615,-1.46481641460439,-1.18051665211341,-0.646020697386674,16362.6780062616,1.00063100104879
"phi[116]",-0.648336561646616,0.00516142019153676,0.533120397061421,-1.68624340531631,-1.0093794133024,-0.648245950958742,-0.28861257736228,0.405650633386105,10668.7162550635,1.00193772370336
"phi[117]",-0.13741865550341,0.00435635828622141,0.466326418160849,-1.04918199548565,-0.453708681228092,-0.139452098307745,0.176034342773166,0.774402926955538,11458.6342567529,1.00133769229505
"phi[118]",-0.589686719363665,0.00479845665107182,0.446641040950453,-1.46576851505411,-0.895044026193774,-0.587801716398869,-0.288041289814475,0.282038234734265,8663.91339680865,1.00265775846489
"phi[119]",-0.985056742843307,0.00363738595335018,0.509140117439896,-1.98115228754222,-1.32694968874135,-0.985248641018507,-0.64438854297281,0.010841571085684,19592.771164893,1.00048802372182
"phi[120]",-0.324285349197821,0.00393742288305261,0.52291688737301,-1.35027481193356,-0.678850695315567,-0.324022504763483,0.0282627867806224,0.694086738750264,17637.6700085334,1.00058076319345
"phi[121]",0.240613462802111,0.0126896538185215,0.720264685666575,-1.17379791755386,-0.244035468525119,0.242419621466933,0.728775848354076,1.63663229762653,3221.69701786802,1.00651146425044
"phi[122]",0.440882922686199,0.0135962780255799,0.66444567839402,-0.878168916811415,-0.00594363899352548,0.446419036473085,0.889288924616578,1.74159642572461,2388.24506325282,1.00768953981837
"phi[123]",-0.0834652614641146,0.0132039305083325,0.677601029482306,-1.42178066390179,-0.536537003344334,-0.0834543781494186,0.372954543013054,1.23101400538297,2633.55052223407,1.00737251178959
"phi[124]",-0.11999531800674,0.0119179199344398,0.807069290975543,-1.69096804195599,-0.67248877634542,-0.123623827931247,0.432302047526319,1.46127199411787,4585.85922143237,1.00489542883622
"phi[125]",-0.285331570191793,0.0124894918079482,0.617756521460584,-1.49830050385599,-0.702575455680519,-0.284109959392919,0.132037179990248,0.920429668421803,2446.4995637839,1.00893532762721
"phi[126]",-0.0262533632996883,0.012842545779428,0.568166950801698,-1.14137995563214,-0.407838746793344,-0.0264257645321246,0.358117646369648,1.0900027887001,1957.26527471973,1.01002068198423
"phi[127]",-0.342018982641169,0.0130313450013966,0.593832404476847,-1.50841983400904,-0.739484951189073,-0.338695844661686,0.0543724613734099,0.813256371084193,2076.58302604067,1.00950864054717
"phi[128]",0.155211375325322,0.0140296924200825,0.557810091357869,-0.942044820030395,-0.219408327650871,0.160834603031746,0.529017453177424,1.24143413904727,1580.79820430767,1.01142979826204
"phi[129]",-1.62248624228259,0.0138560377176169,0.510227658437341,-2.62790319347428,-1.96379275569063,-1.62165131324855,-1.27858211867672,-0.628348850122454,1355.9693738066,1.01506984944587
"phi[130]",-1.60895137619766,0.0139534397897269,0.582252848724564,-2.74314527041091,-1.99992498509934,-1.61559486633551,-1.21362795993308,-0.464132528787256,1741.24819272029,1.01248560590603
"phi[131]",-1.19606281571673,0.0168603730782486,0.554342724910083,-2.2814514551932,-1.56698182534438,-1.19425400630493,-0.820322656283103,-0.113869968823679,1080.99166191941,1.01519777392734
"phi[132]",-1.37031011606343,0.0148895152893866,0.534613060767693,-2.43108278942055,-1.72955018197396,-1.36799000352802,-1.00931219249721,-0.324185006103818,1289.19320837518,1.01527626388815
"phi[133]",-1.44743289461874,0.0153736860967574,0.558960892837302,-2.54203597181395,-1.82523385841565,-1.44588243665344,-1.06767790514155,-0.355416065955665,1321.92504059116,1.01448581269308
"phi[134]",-0.809201356809547,0.0142874909882082,0.551493992289354,-1.88834994799276,-1.17958663567495,-0.810240166801185,-0.435259998489861,0.271581371332159,1489.94292631332,1.01391611570753
"phi[135]",-0.605149233755522,0.0168415039792065,0.535841449225047,-1.66136994867999,-0.965251197908622,-0.603186105742161,-0.240627095792864,0.438246728453673,1012.3037952613,1.01545026063586
"phi[136]",-0.451033111303943,0.0121013478227763,0.550700062429199,-1.52626363413748,-0.824311797173081,-0.450686732832016,-0.0769867748954653,0.626058696785721,2070.917336536,1.00932622137042
"phi[137]",-0.651159867578424,0.0125415876626046,0.527717982841793,-1.68498975798959,-1.00634382443554,-0.650933915629874,-0.292312753176992,0.379307888889861,1770.51149687111,1.01096525339669
"phi[138]",-0.722431130102497,0.0121770983744805,0.545809310865129,-1.7892633252415,-1.09151926561055,-0.721402424769069,-0.352853719307327,0.341584742606391,2009.06621625241,1.01001270070841
